plink_id,author,year,venue,title,section_name,context_left,match,context_right,tag
061b9b20-c11f-3785-8efb-48865fce7bf9,"Ampel, Benjamin M. ; Samtani, Sagar ; Chen, Hsinchun",2026,MISQ,AUTOMATICALLY DETECTING VOICE PHISHING: A LARGE AUDIO MODEL APPROACH.,Contributions to the IS Knowledge Base,These contributions include a situated implementation of the VishGPT artifact (Level 1 contribution) and nascent design,theory,"(Level 2 contribution) in the form of design principles.Although developed for vishing, the design principles",
061b9b20-c11f-3785-8efb-48865fce7bf9,"Ampel, Benjamin M. ; Samtani, Sagar ; Chen, Hsinchun",2026,MISQ,AUTOMATICALLY DETECTING VOICE PHISHING: A LARGE AUDIO MODEL APPROACH.,Contributions to the IS Knowledge Base,"that lead to medical adherence can be well understood, they can potentially be incorporated as a kernel",theory,"into the design of a novel healthcare advice chatbot . Therefore, VishGPT's custom PPO reward function",
0a6cdb1c-c6a7-3b94-bc1b-c41b5eb92973,"Abbasi, Ahmed ; Zhou, Yilu ; Deng, Shasha ; Zhang, Pengzhu",2018,MISQ,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE.,The Language-Action Perspective and Sense-Making in Online Discourse,"et al . 2012). When creating IT artifacts in the absence of sufficient guidelines, design",theories,may help govern the development process (Storey et al . 2008; Walls et al . 1992,
0a6cdb1c-c6a7-3b94-bc1b-c41b5eb92973,"Abbasi, Ahmed ; Zhou, Yilu ; Deng, Shasha ; Zhang, Pengzhu",2018,MISQ,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE.,The Language-Action Perspective and Sense-Making in Online Discourse,al . 2008; Walls et al . 1992). We use language-action perspective as a kernel,theory,to guide the development of the proposed framework and system (Winograd and Flores 1986).The language-action,
0a6cdb1c-c6a7-3b94-bc1b-c41b5eb92973,"Abbasi, Ahmed ; Zhou, Yilu ; Deng, Shasha ; Zhang, Pengzhu",2018,MISQ,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE.,The Language-Action Perspective and Sense-Making in Online Discourse,"Moor and Aakhus 2006, pp . 93-94). LAP's principles are based on several important",theories,", including speech act theory (Searle 1969), discourse analysis, and argumentation . Speech act",
0a6cdb1c-c6a7-3b94-bc1b-c41b5eb92973,"Abbasi, Ahmed ; Zhou, Yilu ; Deng, Shasha ; Zhang, Pengzhu",2018,MISQ,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE.,The Language-Action Perspective and Sense-Making in Online Discourse,"pp . 93-94). LAP's principles are based on several important theories, including speech act",theory,"(Searle 1969), discourse analysis, and argumentation . Speech act theory (SAT) emphasizes",
0a6cdb1c-c6a7-3b94-bc1b-c41b5eb92973,"Abbasi, Ahmed ; Zhou, Yilu ; Deng, Shasha ; Zhang, Pengzhu",2018,MISQ,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE.,The Language-Action Perspective and Sense-Making in Online Discourse,", including speech act theory (Searle 1969), discourse analysis, and argumentation . Speech act",theory,"(SAT) emphasizes the ordinary speaking view of language, where language is a social fact and",
0a6cdb1c-c6a7-3b94-bc1b-c41b5eb92973,"Abbasi, Ahmed ; Zhou, Yilu ; Deng, Shasha ; Zhang, Pengzhu",2018,MISQ,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE.,A LAP-Based Text Analytics System for Sense-Making in Online Discourse,"In the design science paradigm, kernel",theories,"can be used to guide requirements for the design artifact, and both the theory and requirements can",
0a6cdb1c-c6a7-3b94-bc1b-c41b5eb92973,"Abbasi, Ahmed ; Zhou, Yilu ; Deng, Shasha ; Zhang, Pengzhu",2018,MISQ,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE.,A LAP-Based Text Analytics System for Sense-Making in Online Discourse,"paradigm, kernel theories can be used to guide requirements for the design artifact, and both the",theory,and requirements can be used to inform design (Walls et al . 1992). Using LAP,
0a6cdb1c-c6a7-3b94-bc1b-c41b5eb92973,"Abbasi, Ahmed ; Zhou, Yilu ; Deng, Shasha ; Zhang, Pengzhu",2018,MISQ,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE.,Primitive Message Detection,within a thread . Bins provide a consistent mechanism for representing message feature vectors in the statistical learning,theory-based,"kernel function employed, while facilitating the inclusion of thematic trend information and proximity-sensitive similarity measurement . While",
