id,author,year,venue,title,s2_url,plink_url
25abbba5-d694-3859-9d93-ce93c39bdb6a,"Lee, Jintae, Wyner, George M., Pentland, Brian T.",2008,MISQ,Process Grammar as a Tool for Business Process Design.,https://www.semanticscholar.org/paper/f1d9047294207223f3e26c30cd5929f0ca495f54,https://research.ebsco.com/plink/25abbba5-d694-3859-9d93-ce93c39bdb6a
87c70f9a-9567-3f1b-b57e-3b2c96eea150,"Chau, Michael, Xu, Jennifer",2012,MISQ,BUSINESS INTELLIGENCE IN BLOGS: UNDERSTANDING CONSUMER INTERACTIONS AND COMMUNITIES.,,https://research.ebsco.com/plink/87c70f9a-9567-3f1b-b57e-3b2c96eea150
fc1d9966-cb87-3d51-ab8a-2e0975ad402d,"Saar-Tsechansky, Maytal",2015,MISQ,The Business of Business Data Science in IS Journals,,https://research.ebsco.com/plink/fc1d9966-cb87-3d51-ab8a-2e0975ad402d
b182c4fc-5395-301c-a4e2-303400a65a92,"Junbo Son, Flatley Brennan, Patricia, Shiyu Zhou",2020,MISQ,A DATA ANALYTICS FRAMEWORK FOR SMART ASTHMA MANAGEMENT BASED ON REMOTE HEALTH INFORMATION SYSTEMS WITH BLUETOOTH-ENABLED PERSONAL INHALERS.,,https://research.ebsco.com/plink/b182c4fc-5395-301c-a4e2-303400a65a92
0e8c7fd2-2460-3aa8-915d-88078354a2b0,"Samtani, Sagar, Yidong Chai, Hsinchun Chen",2022,MISQ,LINKING EXPLOITS FROM THE DARK WEB TO KNOWN VULNERABILITIES FOR PROACTIVE CYBER THREAT INTELLIGENCE: AN ATTENTION-BASED DEEP STRUCTURED SEMANTIC MODEL.,https://www.semanticscholar.org/paper/3fe3fd6527e0609438cd5fd5a76305755f172b76,https://research.ebsco.com/plink/0e8c7fd2-2460-3aa8-915d-88078354a2b0
bb1e7a91-10ba-3a07-bd0a-77f89ddbc581,"Weifeng Li, Hsinchun Chen",2022,MISQ,DISCOVERING EMERGING THREATS IN THE HACKER COMMUNITY: A NONPARAMETRIC EMERGING TOPIC DETECTION FRAMEWORK.,https://www.semanticscholar.org/paper/407d2664c492a0087085cc1f84635716fb2ebc09,https://research.ebsco.com/plink/bb1e7a91-10ba-3a07-bd0a-77f89ddbc581
cc67b31a-a644-3dc2-ad05-94bb47563fa4,"Xie, Jiaheng, Liu, Xiao, Zeng, Daniel Dajun, Fang, Xiao",2022,MISQ,UNDERSTANDING MEDICATION NONADHERENCE FROM SOCIAL MEDIA: A SENTIMENT-ENRICHED DEEP LEARNING APPROACH,,https://research.ebsco.com/plink/cc67b31a-a644-3dc2-ad05-94bb47563fa4
e1495ccc-4950-3b05-908f-8c0ab3d172a5,"Guo, Tianjian, Bardhan, Indranil R., Ding, Ying, Zhang, Shichang",2025,ISR,An Explainable Artificial Intelligence Approach Using Graph Learning to Predict Intensive Care Unit Length of Stay.,https://www.semanticscholar.org/paper/ff992445daf709cde98b7396ef00e569285e65fe,https://research.ebsco.com/plink/e1495ccc-4950-3b05-908f-8c0ab3d172a5
0adc4ca0-06b1-39a3-bd1c-94ccaed5e3cc,"Zhu, Yu, Liu, Xiao, Sheng, Olivia R. Liu",2025,ISR,Post-Earnings-Announcement Drift Prediction: Leveraging Postevent Investor Responses with Multitask Learning.,https://www.semanticscholar.org/paper/f4a81790375b887883374f4060504e33a39c1314,https://research.ebsco.com/plink/0adc4ca0-06b1-39a3-bd1c-94ccaed5e3cc
